Volatility 3 Framework 2.7.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xfa8000ca8860	97	446	N/A	False	2023-06-22 12:04:39.000000 	N/A	Disabled
264	4	smss.exe	0xfa8001a64920	2	29	N/A	False	2023-06-22 12:04:39.000000 	N/A	Disabled
352	344	csrss.exe	0xfa80028a39a0	8	626	0	False	2023-06-22 12:04:40.000000 	N/A	Disabled
404	344	wininit.exe	0xfa8002a51730	3	76	0	False	2023-06-22 12:04:41.000000 	N/A	Disabled
416	396	csrss.exe	0xfa800291eb00	9	307	1	False	2023-06-22 12:04:41.000000 	N/A	Disabled
464	396	winlogon.exe	0xfa8002a86340	3	113	1	False	2023-06-22 12:04:41.000000 	N/A	Disabled
508	404	services.exe	0xfa8002ad8b00	8	226	0	False	2023-06-22 12:04:41.000000 	N/A	Disabled
516	404	lsass.exe	0xfa8002adbb00	6	585	0	False	2023-06-22 12:04:41.000000 	N/A	Disabled
524	404	lsm.exe	0xfa8002ae6b00	9	149	0	False	2023-06-22 12:04:41.000000 	N/A	Disabled
628	508	svchost.exe	0xfa8002b4f720	10	366	0	False	2023-06-22 12:04:42.000000 	N/A	Disabled
696	508	svchost.exe	0xfa8002b7bb00	7	288	0	False	2023-06-22 12:04:42.000000 	N/A	Disabled
744	508	svchost.exe	0xfa8002ba0b00	18	455	0	False	2023-06-22 12:04:42.000000 	N/A	Disabled
868	508	svchost.exe	0xfa8002c00280	19	443	0	False	2023-06-22 12:04:43.000000 	N/A	Disabled
920	508	svchost.exe	0xfa8002c52710	17	599	0	False	2023-06-22 12:04:43.000000 	N/A	Disabled
964	508	svchost.exe	0xfa8002c5c680	28	838	0	False	2023-06-22 12:04:43.000000 	N/A	Disabled
1000	508	svchost.exe	0xfa80022679b0	13	365	0	False	2023-06-22 12:04:44.000000 	N/A	Disabled
1120	508	spoolsv.exe	0xfa8002d15b00	13	273	0	False	2023-06-22 12:04:45.000000 	N/A	Disabled
1156	508	svchost.exe	0xfa8002d4f9b0	18	308	0	False	2023-06-22 12:04:45.000000 	N/A	Disabled
1268	508	svchost.exe	0xfa8002d2f060	11	165	0	False	2023-06-22 12:04:45.000000 	N/A	Disabled
1348	508	svchost.exe	0xfa8002d2d060	15	258	0	False	2023-06-22 12:04:45.000000 	N/A	Disabled
1412	508	VGAuthService.	0xfa8000d78b00	4	96	0	False	2023-06-22 12:04:45.000000 	N/A	Disabled
1440	508	vm3dservice.ex	0xfa8002db6b00	4	61	0	False	2023-06-22 12:04:46.000000 	N/A	Disabled
1468	508	vmtoolsd.exe	0xfa8002e2e9b0	13	299	0	False	2023-06-22 12:04:46.000000 	N/A	Disabled
1488	1440	vm3dservice.ex	0xfa8002e45a70	2	45	1	False	2023-06-22 12:04:46.000000 	N/A	Disabled
1724	508	svchost.exe	0xfa8002f58b00	6	92	0	False	2023-06-22 12:04:47.000000 	N/A	Disabled
1908	628	WmiPrvSE.exe	0xfa8002fa2b00	9	197	0	False	2023-06-22 12:04:47.000000 	N/A	Disabled
1968	508	dllhost.exe	0xfa8002f8fb00	13	190	0	False	2023-06-22 12:04:47.000000 	N/A	Disabled
1960	508	msdtc.exe	0xfa8003007b00	12	145	0	False	2023-06-22 12:04:51.000000 	N/A	Disabled
