Volatility 3 Framework 2.7.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

288	508	VSSVC.exe	0x51f11b0	6	116	0	False	2023-06-22 12:31:43.000000 	N/A	Disabled
49993448828360	119165821349449	1	0xe79a730	7274601	-	-	True	2002-07-16 11:57:49.000000 	2002-07-16 04:19:41.000000 	Disabled
2600	2508	vmtoolsd.exe	0x12395590	8	182	1	False	2023-06-22 12:05:14.000000 	N/A	Disabled
0	210457002039	9	0x13117ef8	12288	-	-	True	2023-06-22 20:34:24.000000 	2018-11-15 22:44:49.000000 	Disabled
0	181442862679510	e	0x2c22bf00	0	-	-	False	2023-06-22 12:31:24.000000 	2023-06-22 12:31:24.000000 	Disabled
23579789888052	16777394		0x3d20a695	134221364	-	-	True	2000-08-29 04:32:04.000000 	7309-08-02 08:18:03.000000 	Disabled
1960	508	msdtc.exe	0x3da07b00	12	145	0	False	2023-06-22 12:04:51.000000 	N/A	Disabled
1468	508	vmtoolsd.exe	0x3dc2e9b0	13	299	0	False	2023-06-22 12:04:46.000000 	N/A	Disabled
1488	1440	vm3dservice.ex	0x3dc45a70	2	45	1	False	2023-06-22 12:04:46.000000 	N/A	Disabled
1724	508	svchost.exe	0x3dd58b00	6	92	0	False	2023-06-22 12:04:47.000000 	N/A	Disabled
1968	508	dllhost.exe	0x3dd8fb00	13	190	0	False	2023-06-22 12:04:47.000000 	N/A	Disabled
1908	628	WmiPrvSE.exe	0x3dda2b00	9	197	0	False	2023-06-22 12:04:47.000000 	N/A	Disabled
852	2756	SearchProtocol	0x3dda3060	8	289	0	False	2023-06-22 12:31:15.000000 	N/A	Disabled
868	508	svchost.exe	0x3de00280	19	443	0	False	2023-06-22 12:04:43.000000 	N/A	Disabled
920	508	svchost.exe	0x3de52710	17	599	0	False	2023-06-22 12:04:43.000000 	N/A	Disabled
964	508	svchost.exe	0x3de5c680	28	838	0	False	2023-06-22 12:04:43.000000 	N/A	Disabled
2320	508	Ransomware.wan	0x3dea4240	117	497	0	True	2023-06-22 12:30:19.000000 	N/A	Disabled
1120	508	spoolsv.exe	0x3df15b00	13	273	0	False	2023-06-22 12:04:45.000000 	N/A	Disabled
1348	508	svchost.exe	0x3df2d060	15	258	0	False	2023-06-22 12:04:45.000000 	N/A	Disabled
1268	508	svchost.exe	0x3df2f060	11	165	0	False	2023-06-22 12:04:45.000000 	N/A	Disabled
1156	508	svchost.exe	0x3df4f9b0	18	308	0	False	2023-06-22 12:04:45.000000 	N/A	Disabled
2648	464	taskmgr.exe	0x3df95870	6	113	1	False	2023-06-22 12:05:59.000000 	N/A	Disabled
1440	508	vm3dservice.ex	0x3dfb6b00	4	61	0	False	2023-06-22 12:04:46.000000 	N/A	Disabled
404	344	wininit.exe	0x3e051730	3	76	0	False	2023-06-22 12:04:41.000000 	N/A	Disabled
464	396	winlogon.exe	0x3e086340	3	113	1	False	2023-06-22 12:04:41.000000 	N/A	Disabled
508	404	services.exe	0x3e0d8b00	8	226	0	False	2023-06-22 12:04:41.000000 	N/A	Disabled
