Volatility 3 Framework 2.7.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0xfa8000ca8860	97	446	N/A	False	2023-06-22 12:04:39.000000 	N/A	-	-	-
* 264	4	smss.exe	0xfa8001a64920	2	29	N/A	False	2023-06-22 12:04:39.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\smss.exe	-	-
352	344	csrss.exe	0xfa80028a39a0	8	626	0	False	2023-06-22 12:04:40.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
* 3292	352	conhost.exe	0xfa8000f90b00	0	-	0	False	2023-06-22 12:34:03.000000 	2023-06-22 12:34:03.000000 	\Device\HarddiskVolume2\Windows\System32\conhost.exe	-	-
* 2348	352	conhost.exe	0xfa8001ddb060	1	32	0	False	2023-06-22 12:31:29.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\conhost.exe	\??\C:\Windows\system32\conhost.exe "-800861120-6588570581867578094-392611571-129805996782902964-13590525961117407619	C:\Windows\system32\conhost.exe
404	344	wininit.exe	0xfa8002a51730	3	76	0	False	2023-06-22 12:04:41.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\wininit.exe	-	-
* 524	404	lsm.exe	0xfa8002ae6b00	9	149	0	False	2023-06-22 12:04:41.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\lsm.exe	-	-
* 508	404	services.exe	0xfa8002ad8b00	8	226	0	False	2023-06-22 12:04:41.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\services.exe	C:\Windows\system32\services.exe	C:\Windows\system32\services.exe
** 2432	508	taskhost.exe	0xfa8001bfbb00	9	241	1	False	2023-06-22 12:05:13.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\taskhost.exe	"taskhost.exe"	C:\Windows\system32\taskhost.exe
