Volatility 3 Framework 2.7.0

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

4	System	0xfa8000ca8860	0x4	Process	0x1fffff	System Pid 4
4	System	0xf8a000072540	0x8	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\HIVELIST
4	System	0xf8a000008060	0xc	Directory	0xf000f	GLOBAL??
4	System	0xf8a000021220	0x10	Key	0x0	
4	System	0xf8a00008ecc0	0x14	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRODUCTOPTIONS
4	System	0xf8a00008ebd0	0x18	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
4	System	0xf8a000091e00	0x1c	Key	0x2001f	MACHINE\SYSTEM\SETUP
4	System	0xfa8000cd6570	0x20	ALPC Port	0x1f0001	PowerMonitorPort
4	System	0xfa8000cd6c70	0x24	ALPC Port	0x1f0001	PowerPort
4	System	0xf8a000063220	0x28	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
4	System	0xfa8000d45040	0x2c	Thread	0x1fffff	Tid 156 Pid 4
4	System	0xf8a00008ce00	0x30	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001
4	System	0xf8a00008cf50	0x34	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\ENUM
4	System	0xf8a00008b520	0x38	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS
4	System	0xf8a00008b1f0	0x3c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES
4	System	0xfa80022628c0	0x40	File	0x12019f	\Device\Tcp
4	System	0xf8a000084f70	0x44	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\WMI\SECURITY
4	System	0xf8a000200040	0x48	Token	0xe	
4	System	0xfa80105fe340	0x4c	File	0x13019f	\Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0xf8a000e69fa0	0x50	Key	0x2001f	MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\GROUP POLICY\STATE\MACHINE
4	System	0xfa8001a78c60	0x54	File	0x120116	\Device\Mup
4	System	0xfa8011b59680	0x58	File	0x12019f	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
4	System	0xfa8001a64920	0x5c	Process	0x2a	smss.exe Pid 264
4	System	0xfa8002339d60	0x60	File	0x12019f	\Device\clfsKtmLog
4	System	0xf8a00010a8a0	0x64	Key	0x9	MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS
4	System	0xf8a0007ca9d0	0x68	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
4	System	0xfa80109ff4c0	0x6c	File	0x12019f	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
4	System	0xfa8011b598d0	0x70	TmRm	0x1f007f	
4	System	0xfa801331aad0	0x74	File	0x12019f	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
4	System	0xfa80023a83f0	0x78	File	0x13019f	\Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0xfa80023a8ac0	0x7c	File	0x12019f	\Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0xfa8001ef5a70	0x80	File	0x1	\Device\HarddiskVolume1
4	System	0xfa8002339040	0x84	TmTm	0xf003f	
4	System	0xfa800f2b3910	0x88	TmRm	0x12007f	
4	System	0xf8a000566b30	0x8c	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\BIOS
