Volatility 3 Framework 2.7.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xfa8000d674f0	TCPv4	127.0.0.1	9050	127.0.0.1	55206	ESTABLISHED	-	-	N/A
0xfa8000e4f600	TCPv4	127.0.0.1	55206	127.0.0.1	9050	ESTABLISHED	-	-	N/A
0xfa8001e2d010	TCPv4	127.0.0.1	50313	127.0.0.1	50314	ESTABLISHED	-	-	N/A
0xfa8001eb1220	TCPv4	127.0.0.1	50314	127.0.0.1	50313	ESTABLISHED	-	-	N/A
0xfa8002b95840	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	696	svchost.exe	-
0xfa8002b95840	TCPv6	::	135	::	0	LISTENING	696	svchost.exe	-
0xfa8002b94410	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	696	svchost.exe	-
0xfa8002f07540	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	-
0xfa8002f07540	TCPv6	::	445	::	0	LISTENING	4	System	-
0xfa8001bfd6f0	TCPv4	0.0.0.0	554	0.0.0.0	0	LISTENING	2968	wmpnetwk.exe	-
0xfa8001bfd6f0	TCPv6	::	554	::	0	LISTENING	2968	wmpnetwk.exe	-
0xfa8000e02ca0	TCPv4	0.0.0.0	554	0.0.0.0	0	LISTENING	2968	wmpnetwk.exe	-
0xfa8000ea6010	TCPv4	0.0.0.0	2869	0.0.0.0	0	LISTENING	4	System	-
0xfa8000ea6010	TCPv6	::	2869	::	0	LISTENING	4	System	-
0xfa8002e69860	TCPv4	0.0.0.0	5357	0.0.0.0	0	LISTENING	4	System	-
0xfa8002e69860	TCPv6	::	5357	::	0	LISTENING	4	System	-
0xfa8002363ad0	TCPv4	127.0.0.1	9050	0.0.0.0	0	LISTENING	3012	taskhsvc.exe	-
0xfa8002cff8d0	TCPv4	0.0.0.0	10243	0.0.0.0	0	LISTENING	4	System	-
0xfa8002cff8d0	TCPv6	::	10243	::	0	LISTENING	4	System	-
0xfa8001e4f620	TCPv4	0.0.0.0	49152	0.0.0.0	0	LISTENING	404	wininit.exe	-
0xfa8001e4f620	TCPv6	::	49152	::	0	LISTENING	404	wininit.exe	-
0xfa8002bab8f0	TCPv4	0.0.0.0	49152	0.0.0.0	0	LISTENING	404	wininit.exe	-
0xfa8002bfe300	TCPv4	0.0.0.0	49153	0.0.0.0	0	LISTENING	744	svchost.exe	-
0xfa8002bfe300	TCPv6	::	49153	::	0	LISTENING	744	svchost.exe	-
