Volatility 3 Framework 2.7.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0x1a15caa0	UDPv4	0.0.0.0	3702	*	0		1348	svchost.exe	2023-06-22 12:05:10.000000 
0x1a15caa0	UDPv6	::	3702	*	0		1348	svchost.exe	2023-06-22 12:05:10.000000 
0x1fd7cac0	TCPv4	0.0.0.0	49155	0.0.0.0	0	LISTENING	508	services.exe	-
0x1fd7cac0	TCPv6	::	49155	::	0	LISTENING	508	services.exe	-
0x3da01a70	UDPv4	0.0.0.0	3702	*	0		1348	svchost.exe	2023-06-22 12:05:10.000000 
0x3da0b130	UDPv4	0.0.0.0	0	*	0		1000	svchost.exe	2023-06-22 12:05:02.000000 
0x3da0b130	UDPv6	::	0	*	0		1000	svchost.exe	2023-06-22 12:05:02.000000 
0x3da15010	TCPv4	0.0.0.0	49156	0.0.0.0	0	LISTENING	516	lsass.exe	-
0x3da15010	TCPv6	::	49156	::	0	LISTENING	516	lsass.exe	-
0x3dc69860	TCPv4	0.0.0.0	5357	0.0.0.0	0	LISTENING	4	System	-
0x3dc69860	TCPv6	::	5357	::	0	LISTENING	4	System	-
0x3dca3ee0	TCPv4	0.0.0.0	49154	0.0.0.0	0	LISTENING	964	svchost.exe	-
0x3dca3ee0	TCPv6	::	49154	::	0	LISTENING	964	svchost.exe	-
0x3dcf1010	UDPv4	0.0.0.0	62718	*	0		1348	svchost.exe	2023-06-22 12:04:46.000000 
0x3dcf15b0	UDPv4	0.0.0.0	62719	*	0		1348	svchost.exe	2023-06-22 12:04:46.000000 
0x3dcf15b0	UDPv6	::	62719	*	0		1348	svchost.exe	2023-06-22 12:04:46.000000 
0x3dcf7280	TCPv4	0.0.0.0	49155	0.0.0.0	0	LISTENING	508	services.exe	-
0x3dd07540	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	-
0x3dd07540	TCPv6	::	445	::	0	LISTENING	4	System	-
0x3deff8d0	TCPv4	0.0.0.0	10243	0.0.0.0	0	LISTENING	4	System	-
0x3deff8d0	TCPv6	::	10243	::	0	LISTENING	4	System	-
0x3df01ba0	TCPv4	0.0.0.0	49154	0.0.0.0	0	LISTENING	964	svchost.exe	-
0x3e194410	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	696	svchost.exe	-
