Volatility 3 Framework 2.7.0

Offset	Name	Size

0x51e1850	\Windows\System32\en-US\ActionCenter.dll.mui	216
0x51e1b70	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_fa3b1e3d17594757	216
0x51e2910	\Windows\System32\glu32.dll	216
0x51e2f20	\Windows\System32\en-US\wdmaud.drv.mui	216
0x51e3070	\Windows\System32\en-US\MMDevAPI.dll.mui	216
0x51e38c0	\Users\Analyst\Music	216
0x51e3e90	\Users\Analyst\Desktop\Samples\Ransomware.wannacry.exe.id0	216
0x51e5070	\Windows\System32\hhctrl.ocx	216
0x51e51f0	\wkssvc	216
0x51e57d0	\Windows\System32\wmploc.DLL	216
0x51e7240	\Windows\SysWOW64\api-ms-win-downlevel-advapi32-l2-1-0.dll	216
0x51e7940	\Endpoint	216
0x51e7c50	\Windows\System32\mdminst.dll	216
0x51e84e0	\Users\Analyst\Desktop\REMA-Tools\ProcessHacker\plugins\HardwareDevices.dll	216
0x51ea6f0	\Windows\SysWOW64\kernel32.dll	216
0x51ea840	\Windows\SysWOW64\nsi.dll	216
0x51eaa90	\Windows\System32\hidserv.dll	216
0x51eed00	\Users\Analyst\Desktop\REMA-Tools\ProcessHacker\plugins\Updater.dll	216
0x51ef2a0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTNT Kernel Logger.etl	216
0x51ef760	\Endpoint	216
0x51f0a10	\$Directory	216
0x51f1070	\Users\Analyst\AppData\Local\Microsoft\Windows\Temporary Internet Files\counters.dat	216
0x51f2c50	\Windows\Temp\1909.WNCRYTcal\Microsoft\Windows\Explorer\thumbcache_256.db	216
0x51f8f20	\Windows\SysWOW64\api-ms-win-downlevel-user32-l1-1-0.dll	216
0x11038bd0	\$Directory	216
0x11155530	\Windows\System32\C_28591.NLS	216
0x11155df0	\Windows\System32\mscoree.dll	216
0x112d6ca0	\Windows\System32\desk.cpl	216
0x114f4070	\Windows\System32\wevtapi.dll	216
0x114f4bb0	\Windows\Fonts\segoeuib.ttf	216
0x115e1f20	\$Directory	216
0x1169ead0	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002	216
0x11938670	\Endpoint	216
0x11b5ff20	\Windows\Registration\R000000000006.clb	216
0x11c0b7a0	\$MftMirr	216
0x11d02ca0	\Windows\System32\7B296FB0-376B-497e-B012-9C450E1B7327-5P-0.C7483456-A289-439d-8115-601632D005A0	216
0x11d02f20	\Windows\System32	216
0x1232cdc0	\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Problem-Steps-Recorder.evtx	216
0x12395b00	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Paint.lnk	216
0x125ba7a0	\$Directory	216
0x125bad00	\Windows\System32\wbem\WmiPrvSE.exe	216
0x127174f0	\$Directory	216
0x12717680	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf	216
0x1271ef20	\Windows\System32\wow64win.dll	216
0x128d8b10	\ProgramData\Microsoft\Windows Defender\Scans\mpcache-533FB7FA2417DD66822F9B153124F76B59358624.bin.6C	216
0x1294ef20	\Windows\SysWOW64\ole32.dll	216
0x12a46070	\ProgramData\ggzstcat367\00000000.eky	216
0x12a464a0	\Windows\System32\psapi.dll	216
0x12a46a30	\$Mft	216
0x12a46f20	\$LogFile	216
0x12b7df20	\System Volume Information\Syscache.hve	216
0x12cce070	\Windows\System32\en-US\KernelBase.dll.mui	216
0x12cce1a0	\$Mft	216
0x12ccec20	\$BitMap	216
0x12e11470	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001	216
0x12e11b60	\$Directory	216
0x12e11f20	\$Directory	216
0x1317b690	\Windows\System32\d3d10level9.dll	216
0x132d5a10	\Windows\System32\davclnt.dll	216
0x132d5b60	\Program Files\IDA Freeware 8.2\clp64.dll	216
0x132d5cb0	\$Directory	216
0x138214c0	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001	216
0x13821d70	\InitShutdown	216
0x13821ec0	\InitShutdown	216
0x13980050	\$Directory	216
0x13dc2f20	\Windows\Fonts\StaticCache.dat	216
0x13ea7070	\Users\Analyst\Desktop\Samples\Ransomware.wannacry.exe.sample	216
0x13ea7bd0	\Windows\Fonts\calibri.ttf	216
0x14008070	\Windows\Temp\1910.WNCRYTcal\Microsoft\Windows\Explorer\thumbcache_32.db	216
0x1401b330	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_fa3b1e3d17594757	216
0x1401bdd0	\Windows\SysWOW64\IPHLPAPI.DLL	216
0x1401bf20	\Windows\SysWOW64\winnsi.dll	216
0x1420f4b0	TxfLog	216
0x1420ff20	\System Volume Information\Syscache.hve.LOG1	216
0x144e8340	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0x149657d0	\System Volume Information\{3808876b-c176-4e48-b7ae-04046e6cc752}	216
0x14ca4640	\Windows\System32\main.cpl	216
0x14ca4b60	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002	216
0x14d42070	\Windows\System32\rundll32.exe	216
0x14d42dd0	\Users\Analyst\Favorites	216
0x15047050	\System Volume Information\Syscache.hve.LOG2	216
0x15047540	\Windows\SysWOW64\propsys.dll	216
0x15047dc0	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_41e855142bd5705d	216
0x154f5cd0	\Windows\System32\Wldap32.dll	216
0x1597a5d0	\Windows\SysWOW64\mshta.exe	216
0x15a201f0	\$Directory	216
0x15f9e650	\ProtectedPrefix\LocalService	216
0x15f9e7a0	\ProtectedPrefix\Administrators	216
0x15f9e8f0	\ProtectedPrefix\Administrators	216
0x16037780	\Boot\BCD	216
0x16161070	\scerpc	216
0x16161430	\scerpc	216
0x161615c0	\Windows\System32\config\SOFTWARE	216
0x1628d7a0	\$Directory	216
0x162c2520	\Windows\Temp\1912.WNCRYTcal\Microsoft\Windows\Explorer\thumbcache_idx.db	216
0x164712e0	\Windows\SysWOW64\imgutil.dll	216
0x16471640	\Windows\System32\dciman32.dll	216
0x169136d0	\Windows\System32\lpk.dll	216
0x16913a40	\Windows\System32\usp10.dll	216
0x16913de0	\Windows\System32\clbcatq.dll	216
0x16e6fc50	\$Directory	216
0x16f223c0	\Windows\SysWOW64\jscript.dll	216
0x16f22820	\Windows\System32\wups2.dll	216
0x16f22970	\Windows\SysWOW64\mlang.dll	216
0x16f22f20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows PowerShell\Windows PowerShell ISE.lnk	216
0x1722b450	\Windows\System32\oleaut32.dll	216
0x1722b7c0	\Windows\System32\msvcrt.dll	216
0x1722bbc0	\Windows\System32\shell32.dll	216
0x1728f370	\Windows\SysWOW64\api-ms-win-downlevel-advapi32-l2-1-0.dll	216
0x1728ff20	\Windows\System32\config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR.1.regtrans-ms	216
0x176efa10	\Windows\System32\udhisapi.dll	216
0x179a43b0	\Windows\System32\normaliz.dll	216
0x17b01050	\$Directory	216
